model_name,n_folds,fold_number,f1_score,training_time
AdaBoost,4,4,0.8361742424242424,1.143350601196289
SuperEnsemble,4,1,0.8635696821515892,39.72086811065674
SuperEnsemble,4,2,0.8525703200775946,39.72086811065674
SuperEnsemble,4,3,0.8485139022051774,39.72086811065674
SuperEnsemble,4,4,0.84765625,39.72086811065674
LightGBM,5,1,0.8682266009852216,1.0082368850708008
LightGBM,5,2,0.8655256723716381,1.0082368850708008
LightGBM,5,3,0.8505747126436781,1.0082368850708008
LightGBM,5,4,0.8374622356495468,1.0082368850708008
LightGBM,5,5,0.8498168498168498,1.0082368850708008
Bagging,5,1,0.8524188609920392,3.49940824508667
Bagging,5,2,0.8571428571428571,3.49940824508667
Bagging,5,3,0.8571428571428571,3.49940824508667
Bagging,5,4,0.8414043583535109,3.49940824508667
Bagging,5,5,0.8482252141982864,3.49940824508667
XGBoost,5,1,0.8596059113300493,0.9033024311065674
XGBoost,5,2,0.8678090575275398,0.9033024311065674
XGBoost,5,3,0.8507821901323707,0.9033024311065674
XGBoost,5,4,0.8485214242607121,0.9033024311065674
XGBoost,5,5,0.8456375838926175,0.9033024311065674
MLP,5,1,0.8256182625237793,2.9247090816497803
MLP,5,2,0.8390596745027125,2.9247090816497803
MLP,5,3,0.8253602305475505,2.9247090816497803
MLP,5,4,0.8199643493761141,2.9247090816497803
MLP,5,5,0.8081936685288641,2.9247090816497803
DecisionTree,5,1,0.8185654008438819,0.1470353603363037
DecisionTree,5,2,0.821917808219178,0.1470353603363037
DecisionTree,5,3,0.7990401919616077,0.1470353603363037
DecisionTree,5,4,0.8136792452830188,0.1470353603363037
DecisionTree,5,5,0.8172434729811779,0.1470353603363037
KNN,5,1,0.8175438596491228,0.2222750186920166
KNN,5,2,0.8355763604447045,0.2222750186920166
KNN,5,3,0.8209912536443149,0.2222750186920166
KNN,5,4,0.8198250728862974,0.2222750186920166
KNN,5,5,0.821283979178716,0.2222750186920166
QDA,5,1,0.7985865724381626,0.13729476928710938
QDA,5,2,0.7817969661610268,0.13729476928710938
QDA,5,3,0.7740046838407494,0.13729476928710938
QDA,5,4,0.7792507204610951,0.13729476928710938
QDA,5,5,0.7882005899705015,0.13729476928710938
LDA,5,1,0.7884841363102233,0.13536477088928223
LDA,5,2,0.7846506300114547,0.13536477088928223
LDA,5,3,0.7641234711706465,0.13536477088928223
LDA,5,4,0.7736389684813754,0.13536477088928223
LDA,5,5,0.7677004095962551,0.13536477088928223
NaiveBayes,5,1,0.7926898914905768,0.12595105171203613
NaiveBayes,5,2,0.7580372250423012,0.12595105171203613
NaiveBayes,5,3,0.7731843575418994,0.12595105171203613
NaiveBayes,5,4,0.7546322290847838,0.12595105171203613
NaiveBayes,5,5,0.7788627225732337,0.12595105171203613
SGD,5,1,0.7808383233532934,0.1684722900390625
SGD,5,2,0.7850678733031674,0.1684722900390625
SGD,5,3,0.7643312101910829,0.1684722900390625
SGD,5,4,0.770414201183432,0.1684722900390625
SGD,5,5,0.7718242022877785,0.1684722900390625
ExtraTrees,5,1,0.8529769137302552,0.4635124206542969
ExtraTrees,5,2,0.868564506359782,0.4635124206542969
ExtraTrees,5,3,0.8593656493117894,0.4635124206542969
ExtraTrees,5,4,0.8479041916167664,0.4635124206542969
ExtraTrees,5,5,0.8502122498483929,0.4635124206542969
GradientBoosting,5,1,0.8581818181818182,2.444688081741333
GradientBoosting,5,2,0.8622540250447227,2.444688081741333
GradientBoosting,5,3,0.8593471810089021,2.444688081741333
GradientBoosting,5,4,0.843937575030012,2.444688081741333
GradientBoosting,5,5,0.8521212121212122,2.444688081741333
RandomForest,5,1,0.851326341764343,0.9770536422729492
RandomForest,5,2,0.8580171358629131,0.9770536422729492
RandomForest,5,3,0.8559473998804543,0.9770536422729492
RandomForest,5,4,0.8416616496086695,0.9770536422729492
RandomForest,5,5,0.8491142333536957,0.9770536422729492
LogisticRegression,5,1,0.7891317188422918,0.13796019554138184
LogisticRegression,5,2,0.7805714285714286,0.13796019554138184
LogisticRegression,5,3,0.7690517742873764,0.13796019554138184
LogisticRegression,5,4,0.7730702263493906,0.13796019554138184
LogisticRegression,5,5,0.7728613569321534,0.13796019554138184
SVC,5,1,0.8275441803778184,6.712313413619995
SVC,5,2,0.8287227781047675,6.712313413619995
SVC,5,3,0.8127633955448526,6.712313413619995
SVC,5,4,0.8123883263847528,6.712313413619995
SVC,5,5,0.8034292712798531,6.712313413619995
AdaBoost,5,1,0.8521634615384616,1.2540650367736816
AdaBoost,5,2,0.8457478005865102,1.2540650367736816
AdaBoost,5,3,0.8393172454384933,1.2540650367736816
AdaBoost,5,4,0.8235294117647058,1.2540650367736816
AdaBoost,5,5,0.8388625592417062,1.2540650367736816
SuperEnsemble,5,1,0.8611793611793612,47.78598189353943
SuperEnsemble,5,2,0.8656898656898657,47.78598189353943
SuperEnsemble,5,3,0.8538785327720986,47.78598189353943
SuperEnsemble,5,4,0.8442028985507246,47.78598189353943
SuperEnsemble,5,5,0.851738865161684,47.78598189353943
